sctid	fsn	lattomidsag	lrselector
10013000	"Lateral meniscus structure (body structure)"	Y	L
10025002	"Structure of base of phalanx of index finger (body structure)"	Y	NULL
10026001	"Structure of ventral spinocerebellar tract of pons (body structure)"	Y	NULL
10042008	"Structure of intervertebral foramen of fifth thoracic vertebra (body structure)"	Y	NULL
10047002	"Structure of transplanted lung (body structure)"	Y	NULL
1005009	"Entire diaphragmatic lymph node (body structure)"	Y	NULL
10056005	"Structure of ophthalmic nerve (body structure)"	Y	NULL
10062000	"Structure of levator labii superioris muscle (body structure)"	Y	NULL
10119003	"Structure of deep volar arch of radial artery (body structure)"	Y	NULL
10134009	"Structure of medial surface of third toe (body structure)"	Y	NULL
10141003	"Structure of zygomatic nerve (body structure)"	Y	NULL
10145007	"Structure of vagus nerve pharyngeal plexus (body structure)"	Y	NULL
10148009	"Entire costal groove of fifth rib (body structure)"	Y	NULL
1015003	"Structure of peritonsillar tissue (body structure)"	Y	NULL
10151002	"Structure of middle part of cartilaginous portion of auditory canal (body structure)"	Y	NULL
10167008	"Entire inner surface of eleventh rib (body structure)"	Y	NULL
10209003	"Structure of parotid lymph node (body structure)"	Y	NULL
102288007	"Structure of skeletal muscle of shoulder (body structure)"	Y	NULL
102289004	"Entire skeletal muscle of inguinal region (body structure)"	Y	NULL
102291007	"Muscle of buttock (body structure)"	Y	NULL
102292000	"Skeletal muscle structure of lower limb (body structure)"	Y	NULL
102294004	"Structure of laryngeal aspect of aryepiglottic fold (body structure)"	Y	NULL
102297006	"Main bronchus structure (body structure)"	Y	NULL
10245000	"Structure of abductor digiti minimi muscle of foot (body structure)"	Y	NULL
10286007	"Callosomarginal gyrus (body structure)"	Y	NULL
10293006	"Structure of iliac artery (body structure)"	Y	NULL
10299005	"Entire anteromedial perforating artery (body structure)"	Y	NULL
1030007	"Structure of vesicular bursa of sternohyoid muscle (body structure)"	Y	NULL
10328008	"Structure of capsule of calcaneocuboidal joint (body structure)"	Y	NULL
10415000	"Structure of pigmented layer of ciliary body (body structure)"	Y	NULL
10417008	"Structure of lesser sciatic notch (body structure)"	Y	NULL
10421001	"Structure of lateral surface of toe (body structure)"	Y	NULL
10439005	"Dorsal subaponeurotic space (body structure)"	Y	NULL
10475007	"Structure of superficial cervical artery (body structure)"	Y	NULL
10476008	"Structure of medial head of gastrocnemius muscle (body structure)"	Y	NULL
10481004	"Structure of transplanted cornea (body structure)"	Y	NULL
10482006	"Subcutaneous tissue structure of finger (body structure)"	Y	NULL
10484007	"Structure of lateral cubital region (body structure)"	Y	NULL
10517005	"External capsule of brain (body structure)"	Y	NULL
10521003	"Structure of perforating branch of the femoral vein (body structure)"	Y	NULL
10523000	"Entire vein of the brain stem (body structure)"	Y	NULL
10545004	"Structure of superior wall of orbit (body structure)"	Y	NULL
105582001	"Structure of articular surface, phalanges, of second metacarpal bone (body structure)"	Y	NULL
105584000	"Interphalangeal toe joint structure (body structure)"	Y	NULL
105586003	"Femoropopliteal vein (body structure)"	Y	NULL
10574008	"Structure of right upper lobe bronchial lumen (body structure)"	R	NULL
10584009	"Structure of helicotrema (body structure)"	Y	NULL
10585005	"Structure of lunar surface of acetabulum (body structure)"	Y	NULL
10591007	"Structure of inferior gluteal nerve (body structure)"	Y	NULL
106004	"Structure of posterior carpal region (body structure)"	Y	NULL
10617000	"Entire small subcutaneous vein (body structure)"	Y	NULL
1063000	"Structure of frontozygomatic suture of skull (body structure)"	Y	NULL
10634008	"Structure of posterior cricoarytenoid muscle (body structure)"	Y	NULL
10642009	"Structure of head of fifth metacarpal bone (body structure)"	Y	NULL
10655005	"Structure of long plantar ligament (body structure)"	Y	NULL
10664000	"Entire mandibular lymph node (body structure)"	Y	NULL
10692005	"Bronchiole structure of accessory lobe (body structure)"	Y	NULL
10695007	"Structure of lamina episcleralis (body structure)"	Y	NULL
10700000	"Structure of medial intertransversarius lumborum muscle (body structure)"	Y	NULL
10711008	"Structure of orifice of parotid duct (body structure)"	Y	NULL
10737006	"Conjunctival sac structure (body structure)"	Y	NULL
1076006	"Entire subcutaneous prepatellar bursa (body structure)"	Y	NULL
10766009	"Structure of inferior collateral ulnar artery (body structure)"	Y	NULL
10769002	"Structure of superior phrenic vein (body structure)"	Y	NULL
10770001	"Structure of distal phalanx of little toe (body structure)"	Y	NULL
10776007	"Structure of intralaminar nuclear group of thalamus (body structure)"	Y	NULL
10778008	"Structure of lateral nuclear group of thalamus (body structure)"	Y	NULL
108003	"Entire condylar emissary vein (body structure)"	Y	NULL
10801009	"Superior trunk of brachial plexus (body structure)"	Y	NULL
108348009	"Spinal cord root AND/OR ganglion (body structure)"	Y	NULL
108371006	"Bone structure of tarsus (body structure)"	Y	NULL
108372004	"Entire tarsal bone (body structure)"	Y	NULL
10840004	"Entire frontal branch of middle cerebral artery (body structure)"	Y	NULL
10864003	"Structure of conoid tubercle of clavicle (body structure)"	Y	NULL
1087003	"Structure of sternothyroid muscle (body structure)"	Y	NULL
10886002	"Structure of humeral head of pronator teres muscle (body structure)"	Y	NULL
10887006	"Mucous membrane of bronchiole (body structure)"	Y	NULL
1092001	"Structure of superior occipital gyrus (body structure)"	Y	NULL
10921009	"Structure of iliocostalis thoracis muscle (body structure)"	Y	NULL
10937003	"Structure of pars parvocellularis of ventral anterior nucleus of thalamus (body structure)"	Y	NULL
10957004	"Structure of falciform margin of saphenous opening (body structure)"	Y	NULL
10972000	"Structure of extensor tendon of little finger (body structure)"	Y	NULL
10974004	"Cerebellar olive structure (body structure)"	Y	NULL
10992007	"Structure of basal vein (body structure)"	Y	NULL
11000004	"Caudate nucleus structure (body structure)"	Y	NULL
110001	"Structure of visceral layer of Bowman's capsule (body structure)"	Y	NULL
11016002	"Structure of transverse process of cervical vertebra (body structure)"	Y	NULL
11018001	"Structure of greater splanchnic nerve (body structure)"	Y	NULL
11019009	"Entire shaft of eighth rib (body structure)"	Y	NULL
110326006	"Buccal embrasure (body structure)"	Y	NULL
110493007	"Central portion of right breast (body structure)"	R	NULL
110494001	"Upper inner quadrant of right breast (body structure)"	R	NULL
110495000	"Lower inner quadrant of right breast (body structure)"	R	NULL
110496004	"Upper outer quadrant of right breast (body structure)"	R	NULL
110497008	"Lower outer quadrant of right breast (body structure)"	R	NULL
110498003	"Central portion of left breast (body structure)"	L	NULL
110499006	"Upper inner quadrant of left breast (body structure)"	L	NULL
110500002	"Lower inner quadrant of left breast (body structure)"	L	NULL
110501003	"Upper outer quadrant of left breast (body structure)"	L	NULL
110502005	"Lower outer quadrant of left breast (body structure)"	L	NULL
110503000	"Central portion of female breast (body structure)"	Y	NULL
110504006	"Upper inner quadrant of female breast (body structure)"	Y	NULL
110505007	"Lower inner quadrant of female breast (body structure)"	Y	NULL
110506008	"Upper outer quadrant of female breast (body structure)"	Y	NULL
110507004	"Lower outer quadrant of female breast (body structure)"	Y	NULL
